id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Appalachian Mountains, 0.586795
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Pennsylvania, 0.577697
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Electronic commerce, 0.574831
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Oregon, 0.558982
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Washington, 0.557115
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Newark  New Jersey, 0.52056
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, United States dollar, 0.515965
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, South America, 0.512712
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Americas, 0.498295
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Delaware, 0.479538
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Maryland, 0.478394
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, American Civil War, 0.47563
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, New York metropolitan area, 0.47506
